students,gpa,java.lang.Double,False,idfirst_namegpa,Octree,0.7,5.0
students,last_name,java.lang.String,False,null,null,AAAAAA,zzzzzz
students,first_name,java.lang.String,False,idfirst_namegpa,Octree,AAAAAA,zzzzzz
students,dob,java.util.Date,False,null,null,1990-01-01,2000-12-31
students,id,java.lang.String,True,idfirst_namegpa,Octree,43-0000,99-9999
courses,hours,java.lang.Integer,False,null,null,1,24
courses,date_added,java.util.Date,True,null,null,1901-01-01,2020-12-31
courses,course_id,java.lang.String,False,null,null,0000,9999
courses,course_name,java.lang.String,False,null,null,AAAAAA,zzzzzz
transcripts,gpa,java.lang.Double,True,null,null,0.7,5.0
transcripts,date_passed,java.util.Date,False,null,null,1990-01-01,2020-12-31
transcripts,course_name,java.lang.String,False,null,null,AAAAAA,zzzzzz
transcripts,student_id,java.lang.String,False,null,null,43-0000,99-9999
pcs,pc_id,java.lang.Integer,True,null,null,0,20000
pcs,student_id,java.lang.String,False,null,null,43-0000,99-9999
MERWIZ,ID,java.lang.Integer,True,null,null,1,9
MERWIZ,NAME,java.lang.String,False,null,null,A,Z
HASSAN,ID,java.lang.Integer,True,null,null,1,9
HASSAN,NAME,java.lang.String,False,null,null,A,Z
HASSOUNA,ID,java.lang.Integer,True,null,null,1,9
HASSOUNA,DOB,java.lang.Double,False,null,null,1901-01-01,2020-12-31
HASSOUNA,NAME,java.lang.String,False,null,null,A,Z
ABCD,ID,java.lang.Integer,True,IDDOBNAME,Octree,1,9
ABCD,DOB,java.lang.Date,False,IDDOBNAME,Octree,1901-01-01,2020-12-31
ABCD,NAME,java.lang.String,False,IDDOBNAME,Octree,A,Z
